County Name,Population,Cases  03-04,Cases  03-05,Cases  03-06,Cases  03-09,Cases  03-10,Cases  03-11,Cases  03-12,Cases  03-13,Cases  03-15,Cases  03-16,Cases  03-17,Cases  03-18,Cases  03-19,Cases  03-20,Cases  03-21,Cases  03-22,Cases  03-23,Cases  03-24,Cases  03-25,Cases  03-26,Cases  03-27,Cases  03-28,Cases  03-29,Cases  03-30,Cases  03-31,Cases  04-01,Cases  04-02,Cases  04-03,Cases  04-04,Cases  04-05,Cases  04-06,Cases  04-07,Cases  04-08,Cases  04-09,Cases  04-10,Cases  04-11,Cases  04-12,Cases  04-13,Cases  04-14,Cases  04-15,Cases  04-16,Cases  04-17,Cases  04-18,Cases  04-19,Cases  04-20,Cases  04-21,Cases  04-22,Cases  04-23,Cases  04-24,Cases  04-25,Cases  04-26,Cases  04-27,Cases  04-28,Cases  04-29,Cases 04-30,Cases 05-01,Cases 05-02,Cases 05-03,Cases 05-04,Cases 05-05,Cases 05-06,Cases 05-07,Cases 05-08,Cases 05-09,Cases 05-10,Cases 05-11,Cases 05-12
Armstrong,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Briscoe,1672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Carson,6526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Castro,8901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,13,13,13,13,13,13,13,13,15,15,15,18,18,20,22,22,22,23,23,23
Childress,7460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Collingsworth,3243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4
Dallam,8054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,3,3,2,2,3,3,4,8,8,8,8,10,10,10,12,12,13,10,10,10,11,13,13,14,16
Deaf Smith,22599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,5,5,7,7,7,7,7,7,7,8,11,11,11,11,11,12,12,14,14,17,21,21,21,25,26,26,31,31,34,35,37,38,41,41,46,46,59,59,67
Donley,3873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,7,7,7,13,14,21,23,22,22,22,22,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,26,26,25
Gray,24928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,9,9,11,12,12,13,13,13,13,13,16,16,17,17,17,20,22,27,32,35,37,37,38,42,47,58,58,58,67,68,71,73,73,73,75,75,76
Hall,3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hansford,6513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,5,5,6,6,6,7,7,11,11,11,12,12,12,12,13
Hartley,6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,4,4,4,4,4,5,5,5,5,7,7,7,7,8,8,8,9
Hemphill,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hutchinson,22540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3,6,6,7,7,8,8,8,9,10,11,11,13,13,13,14,14,14,16,16,19,20,19,19,20,21,21,22
Lipscomb,3797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Moore,25817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,6,6,6,6,7,9,15,21,21,22,22,36,52,59,75,99,106,121,139,162,172,186,192,252,272,294,295,327,350,363,399,399,434,448,454,487,494,527,526,535
Ochiltree,12755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,24,25,25,19,19,19,19,25,26,28,29,29,29,29,29
Oldham,2233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Potter,134475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,5,5,10,16,21,24,40,40,41,47,58,59,66,70,70,79,79,92,101,110,130,142,160,174,204,221,280,326,333,396,430,499,572,684,766,818,876,907,971,1027,1101,1124,1124,1179
Randall,142109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,6,17,21,24,34,36,36,40,52,56,60,64,64,73,73,80,93,97,103,112,115,117,125,137,149,164,172,191,200,213,234,256,270,279,296,310,333,343,355,358,358,379
Roberts,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sherman,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,7,7,7,9,10,10,11,12,14,14,14,15,17,17,18,18,18,18,19,20,20,23,23,23
Swisher,8230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,5,5,6,6,7,7,9,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,13
Wheeler,5934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,5,7,7,7,8,9,9,11,12,12,13,13,14,14,14
