date,Armstrong,Briscoe,Carson,Castro,Childress,Collingsworth,Dallam,Deaf Smith,Donley,Gray,Hall,Hansford,Hartley,Hemphill,Hutchinson,Lipscomb,Moore,Ochiltree,Oldham,Palmer,Potter,Randall,Roberts,Sherman,Swisher,Wheeler
2020-03-21,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2020-03-22,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2020-03-23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2020-03-24,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2020-03-25,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2020-03-26,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2020-03-27,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0
2020-03-28,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0
2020-03-29,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,1,0
2020-03-30,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,5,6,0,0,1,0
2020-03-31,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,5,6,0,0,1,0
2020-04-01,0,0,0,8,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,16,17,0,0,1,0
2020-04-02,0,0,0,8,0,0,0,2,1,1,0,0,0,0,0,0,6,0,2,0,16,17,0,0,1,0
2020-04-03,0,0,0,9,0,0,0,3,5,1,0,0,0,0,0,0,6,0,2,0,21,21,0,0,1,0
2020-04-04,0,0,0,10,0,0,0,5,5,5,0,0,0,1,2,0,6,0,2,0,24,24,0,0,1,0
2020-04-05,0,0,0,10,0,0,0,5,7,5,0,0,0,1,2,0,6,0,2,0,40,34,0,0,1,0
2020-04-06,0,0,0,10,0,0,0,5,7,5,0,0,0,1,2,0,6,0,2,0,41,36,0,0,1,0
2020-04-07,0,0,0,10,0,0,1,7,7,9,0,1,0,1,2,0,7,0,3,0,41,36,0,0,1,0
2020-04-08,0,0,0,10,0,0,1,7,7,9,0,1,0,1,2,0,7,0,3,0,47,40,0,0,1,0
2020-04-09,0,0,0,10,0,0,1,7,14,12,0,1,0,1,2,0,15,0,3,0,58,52,0,0,2,0
2020-04-10,0,0,0,10,0,0,1,7,21,12,0,1,0,1,2,0,21,0,3,0,66,60,0,0,3,0
2020-04-11,0,0,0,10,0,0,1,7,23,13,0,1,0,1,2,0,21,0,3,0,66,60,0,0,3,0
2020-04-12,0,0,0,11,0,0,1,7,23,13,0,1,0,1,2,0,22,0,3,0,70,64,0,0,4,0
2020-04-13,0,0,0,11,0,0,1,8,23,13,0,1,0,1,3,0,22,0,3,0,70,64,0,0,4,0
2020-04-14,1,0,0,11,0,0,2,11,23,13,0,1,0,1,3,0,36,0,3,0,79,73,0,0,4,0
2020-04-15,1,0,0,11,0,0,2,11,23,13,0,1,0,1,3,0,52,0,3,0,79,73,0,0,4,0
2020-04-16,1,0,0,11,0,0,2,11,23,19,0,1,0,1,6,0,59,0,3,0,92,80,2,4,4,0
2020-04-17,1,0,0,11,0,0,3,11,23,19,0,1,0,1,6,0,75,0,3,0,101,93,2,6,4,0
2020-04-18,1,0,1,11,0,0,3,11,23,19,0,1,0,1,7,0,99,0,3,0,110,97,2,7,4,0
2020-04-19,1,0,1,11,1,0,3,12,23,19,0,1,0,1,7,0,106,0,3,0,130,103,2,7,4,0
2020-04-20,1,0,1,11,1,0,2,12,23,19,0,1,1,1,8,0,121,0,3,0,142,112,2,7,5,0
2020-04-21,1,0,1,11,1,0,2,14,24,20,0,1,1,1,8,0,139,0,3,0,160,115,2,7,5,0
2020-04-22,1,0,1,12,1,0,3,14,24,22,0,1,1,1,8,0,162,0,3,0,204,125,2,9,6,1
2020-04-23,1,0,1,13,1,0,3,17,24,27,0,2,2,1,9,0,172,0,3,0,221,137,2,10,6,1
2020-04-24,1,0,1,13,1,0,4,21,24,32,0,2,4,1,10,0,186,1,3,0,280,149,2,10,7,3
2020-04-25,2,0,1,13,1,0,8,21,24,35,0,4,4,1,11,0,192,5,3,0,326,164,2,11,7,3
2020-04-26,2,0,1,13,1,0,8,21,24,37,0,4,4,1,11,0,252,5,3,0,333,172,2,12,9,5
2020-04-27,2,0,1,13,1,0,8,25,24,37,0,4,4,1,13,0,272,5,3,0,396,191,2,14,9,5
2020-04-28,2,0,1,13,1,0,8,26,24,38,0,5,4,1,13,1,294,24,3,0,396,191,2,14,9,5
2020-04-29,2,0,2,13,1,0,10,26,24,42,0,5,4,1,13,2,295,25,3,0,499,213,2,14,9,7
2020-04-30,2,0,2,13,1,0,10,31,24,47,0,6,4,1,14,2,327,25,3,0,572,234,2,15,9,7
2020-05-01,2,0,2,15,1,0,10,31,24,58,0,6,5,1,14,2,350,19,3,0,684,256,2,17,9,7
2020-05-02,2,1,2,15,1,0,12,34,25,58,0,6,5,1,14,2,363,19,3,0,766,270,2,17,9,8
2020-05-03,2,1,3,15,1,0,12,35,25,58,0,7,5,1,16,2,399,19,3,0,818,279,2,18,9,9
2020-05-04,2,1,3,18,1,0,13,37,25,67,0,7,5,1,16,2,399,19,3,0,876,296,2,18,9,9
2020-05-05,2,1,3,18,1,1,10,38,25,68,0,11,7,1,19,2,434,25,3,0,907,296,2,18,10,11
2020-05-06,2,1,3,20,1,1,10,41,25,71,0,11,7,1,20,2,448,26,3,0,971,333,2,18,11,12
2020-05-07,2,1,3,22,1,1,10,41,25,73,0,11,7,1,19,2,454,28,3,0,1027,343,2,19,11,12
2020-05-08,2,1,3,22,1,1,11,46,25,73,0,12,7,1,19,2,487,29,3,0,1101,355,2,20,11,13
2020-05-09,2,1,3,22,1,1,13,46,25,73,0,12,8,1,20,2,494,29,3,0,1101,355,2,20,11,13
2020-05-10,2,1,3,23,2,4,13,59,26,75,0,12,8,1,21,2,527,29,3,0,1124,358,2,23,12,14
